userid,emailid,date,amount,discount
1,test1@gmail.com,01-01-2019,100,1
2,test2@gmail.com,02-01-2019,100,1
3,test3gmail.com,03-01-2019,101,2
4,test4@gmail.com,04-01-2019,102,10
5,test5@gmail.com,05-01-2019,102.5,2
6,test6@gmail.com,06-01-2019,103.2,1
7,test7@gmail.com,07-01-2019,103.9,3
8,test8@gmailcom,08-01-2019,104.6,5
9,test9@gmail.com,09-01-2019,105.3,4.571428571
10,test10@gmail.com,10-01-2019,106,4.892857143
11,test11@gmail.com,11-01-2019,106.7,5.214285714
12,test12@gmail.,12-01-2019,107.4,5.535714286
13,test13@gmail.com,13-01-2019,108.1,5.857142857
14,test14@gmail.com,14-01-2019,108.8,6.178571429
15,test15@gmail.com,15-01-2019,109.5,6.5
16,test16@gmail.com,16-01-2019,110.2,6.821428571
17,test17@gmail.com,17-01-2019,110.9,7.142857143
18,test18@gmail.com,18-01-2019,111.6,7.464285714
19,test19@gmail.com,19-01-2019,112.3,7.785714286
20,test20@gmail.com,20-01-2019,113,8.107142857
21,test21@gmail.com,21-01-2019,113.7,8.428571429
22,test22@gmail.com,22-01-2019,114.4,8.75
23,test23@gmail.com,23-01-2019,115.1,9.071428571
24,test24@gmail.com,24-01-2019,115.8,9.392857143
25,test25@gmail.com,25-01-2019,116.5,9.714285714
26,test26@gmail.com,26-01-2019,117.2,10.03571429
27,test27@gmail.com,27-01-2019,117.9,10.35714286
28,test28@gmail.com,28-01-2019,118.6,10.67857143
29,test29@gmail.com,29-01-2019,119.3,11
30,test30@gmail.com,30-01-2019,120,11.32142857
31,test31@gmail.com,31-01-2019,120.7,11.64285714
32,test32@gmail.com,01-02-2019,121.4,11.96428571
33,test33@gmail.com,02-02-2019,122.1,12.28571429
34,test34@gmail.com,03-02-2019,122.8,12.60714286
35,test35@gmail.com,04-02-2019,123.5,12.92857143
36,test36@gmail.com,05-02-2019,124.2,13.25
37,test37@gmail.com,06-02-2019,124.9,13.57142857
38,test38@gmail.com,07-02-2019,125.6,13.89285714
39,test39@gmail.com,08-02-2019,126.3,14.21428571
40,test40@gmail.com,09-02-2019,127,14.53571429
41,test41@gmail.com,10-02-2019,127.7,14.85714286
42,test42@gmail.com,11-02-2019,128.4,15.17857143
43,test43@gmail.com,12-02-2019,129.1,15.5
44,test44@gmail.com,13-02-2019,129.8,15.82142857
44,test44@gmail.com,13-02-2019,129.8,15.82142857
45,test45@gmail.com,14-02-2019,130.5,16.14285714
46,test46@gmail.com,15-02-2019,131.2,16.46428571
47,test47@gmail.com,16-02-2019,131.9,16.78571429
48,test48@gmail.com,17-02-2019,132.6,17.10714286
49,test49@gmail.com,18-02-2019,133.3,17.42857143
50,test50@gmail.com,19-02-2019,134,17.75
51,test51@gmail.com,20-02-2019,134.7,18.07142857
52,test52@gmail.com,21-02-2019,135.4,18.39285714
53,test53@gmail.com,22-02-2019,136.1,18.71428571
54,test54@gmail.com,23-02-2019,136.8,19.03571429
55,test55@gmail.com,24-02-2019,137.5,19.35714286
56,test56@gmail.com,25-02-2019,138.2,19.67857143
57,test57@gmail.com,26-02-2019,138.9,20
58,test58@gmail.com,27-02-2019,139.6,20.32142857
59,test59@gmail.com,28-02-2019,140.3,20.64285714
60,test60@gmail.com,01-03-2019,141,20.96428571
61,test61@gmail.com,02-03-2019,141.7,21.28571429
62,test62@gmail.com,03-03-2019,142.4,21.60714286
63,test63@gmail.com,04-03-2019,143.1,21.92857143
64,test64@gmail.com,05-03-2019,143.8,22.25
65,test65@gmail.com,06-03-2019,144.5,22.57142857
